"Points:0","Points:1","Points:2"
5e+05,0,-30000
5e+05,0,-30000
5e+05,20000,-30000
5e+05,20000,-30000
5e+05,40000,-30000
5e+05,40000,-30000
5e+05,60000,-30000
5e+05,60000,-30000
5e+05,80000,-30000
5e+05,80000,-30000
5e+05,1e+05,-30000
5e+05,1e+05,-30000
5e+05,1.2e+05,-30000
5e+05,1.2e+05,-30000
5e+05,1.4e+05,-30000
5e+05,1.4e+05,-30000
5e+05,1.6e+05,-30000
5e+05,1.6e+05,-29826
5e+05,1.8e+05,-30000
5e+05,1.8e+05,-29590
5e+05,2e+05,-30000
5e+05,2e+05,-29359
5e+05,2.2e+05,-30000
5e+05,2.2e+05,-29131
5e+05,2.4e+05,-30000
5e+05,2.4e+05,-28909
5e+05,2.6e+05,-30000
5e+05,2.6e+05,-28691
5e+05,2.8e+05,-30000
5e+05,2.8e+05,-28479
5e+05,3e+05,-30000
5e+05,3e+05,-28272
5e+05,3.2e+05,-30000
5e+05,3.2e+05,-28072
5e+05,3.4e+05,-30000
5e+05,3.4e+05,-27878
5e+05,3.6e+05,-30000
5e+05,3.6e+05,-27692
5e+05,3.8e+05,-30000
5e+05,3.8e+05,-27512
5e+05,4e+05,-30000
5e+05,4e+05,-27340
5e+05,4.2e+05,-30000
5e+05,4.2e+05,-27176
5e+05,4.4e+05,-30000
5e+05,4.4e+05,-27020
5e+05,4.6e+05,-30000
5e+05,4.6e+05,-26872
5e+05,4.8e+05,-30000
5e+05,4.8e+05,-26733
5e+05,5e+05,-30000
5e+05,5e+05,-26603
5e+05,5.2e+05,-30000
5e+05,5.2e+05,-26482
5e+05,5.4e+05,-30000
5e+05,5.4e+05,-26370
5e+05,5.6e+05,-30000
5e+05,5.6e+05,-26268
5e+05,5.8e+05,-30000
5e+05,5.8e+05,-26175
5e+05,6e+05,-30000
5e+05,6e+05,-26092
5e+05,6.2e+05,-30000
5e+05,6.2e+05,-26020
5e+05,6.4e+05,-30000
5e+05,6.4e+05,-25957
5e+05,6.6e+05,-30000
5e+05,6.6e+05,-25905
5e+05,6.8e+05,-30000
5e+05,6.8e+05,-25863
5e+05,7e+05,-30000
5e+05,7e+05,-25832
5e+05,7.2e+05,-30000
5e+05,7.2e+05,-25811
5e+05,7.4e+05,-30000
5e+05,7.4e+05,-25800
5e+05,7.6e+05,-30000
5e+05,7.6e+05,-25800
5e+05,7.8e+05,-30000
5e+05,7.8e+05,-25811
5e+05,8e+05,-30000
5e+05,8e+05,-25832
5e+05,8.2e+05,-30000
5e+05,8.2e+05,-25863
5e+05,8.4e+05,-30000
5e+05,8.4e+05,-25905
5e+05,8.6e+05,-30000
5e+05,8.6e+05,-25957
5e+05,8.8e+05,-30000
5e+05,8.8e+05,-26020
5e+05,9e+05,-30000
5e+05,9e+05,-26092
5e+05,9.2e+05,-30000
5e+05,9.2e+05,-26175
5e+05,9.4e+05,-30000
5e+05,9.4e+05,-26268
5e+05,9.6e+05,-30000
5e+05,9.6e+05,-26370
5e+05,9.8e+05,-30000
5e+05,9.8e+05,-26482
5e+05,1e+06,-30000
5e+05,1e+06,-26603
5e+05,1.02e+06,-30000
5e+05,1.02e+06,-26733
5e+05,1.04e+06,-30000
5e+05,1.04e+06,-26872
5e+05,1.06e+06,-30000
5e+05,1.06e+06,-27020
5e+05,1.08e+06,-30000
5e+05,1.08e+06,-27176
5e+05,1.1e+06,-30000
5e+05,1.1e+06,-27340
5e+05,1.12e+06,-30000
5e+05,1.12e+06,-27512
5e+05,1.14e+06,-30000
5e+05,1.14e+06,-27692
5e+05,1.16e+06,-30000
5e+05,1.16e+06,-27878
5e+05,1.18e+06,-30000
5e+05,1.18e+06,-28072
5e+05,1.2e+06,-30000
5e+05,1.2e+06,-28272
5e+05,1.22e+06,-30000
5e+05,1.22e+06,-28479
5e+05,1.24e+06,-30000
5e+05,1.24e+06,-28691
5e+05,1.26e+06,-30000
5e+05,1.26e+06,-28909
5e+05,1.28e+06,-30000
5e+05,1.28e+06,-29131
5e+05,1.3e+06,-30000
5e+05,1.3e+06,-29359
5e+05,1.32e+06,-30000
5e+05,1.32e+06,-29590
5e+05,1.34e+06,-30000
5e+05,1.34e+06,-29826
5e+05,1.36e+06,-30000
5e+05,1.36e+06,-30000
5e+05,1.38e+06,-30000
5e+05,1.38e+06,-30000
5e+05,1.4e+06,-30000
5e+05,1.4e+06,-30000
5e+05,1.42e+06,-30000
5e+05,1.42e+06,-30000
5e+05,1.44e+06,-30000
5e+05,1.44e+06,-30000
5e+05,1.46e+06,-30000
5e+05,1.46e+06,-30000
5e+05,1.48e+06,-30000
5e+05,1.48e+06,-30000
5e+05,1.5e+06,-30000
5e+05,1.5e+06,-30000
