# Isostatic upper crust
# Created: Mon Aug 29 15:17:22 2016
# Input thickness: t_Crust.dat
# Input density: CPB2_RhoCrust_6.62GPa.dat
# Density upper crust: 2454.075181
# Density lower crust: 3109.844856
# Column information:
# 0 - X
# 1 - Y
# 2 - Thickness
-250000.000000 6000000.000000 15092.863981
-250000.000000 6020000.000000 14289.750682
-250000.000000 6040000.000000 12398.394045
-250000.000000 6060000.000000 13189.703333
-250000.000000 6080000.000000 13287.142511
-250000.000000 6100000.000000 13316.135424
-250000.000000 6120000.000000 14141.800447
-250000.000000 6140000.000000 15348.676251
-250000.000000 6160000.000000 14963.436201
-250000.000000 6180000.000000 15957.390581
-250000.000000 6200000.000000 17072.593072
-250000.000000 6220000.000000 17806.085390
-250000.000000 6240000.000000 16788.712069
-250000.000000 6260000.000000 16704.377186
-250000.000000 6280000.000000 17677.380702
-250000.000000 6300000.000000 22362.013426
-250000.000000 6320000.000000 22158.885297
-250000.000000 6340000.000000 18454.771453
-250000.000000 6360000.000000 20466.507518
-250000.000000 6380000.000000 19277.519451
-250000.000000 6400000.000000 21947.147731
-250000.000000 6420000.000000 24831.076738
-250000.000000 6440000.000000 23173.358803
-250000.000000 6460000.000000 21645.412065
-250000.000000 6480000.000000 24998.491629
-250000.000000 6500000.000000 29134.326623
-250000.000000 6520000.000000 28015.273065
-250000.000000 6540000.000000 24258.536095
-250000.000000 6560000.000000 22148.941687
-250000.000000 6580000.000000 20853.003496
-250000.000000 6600000.000000 22820.072449
-250000.000000 6620000.000000 21039.584249
-250000.000000 6640000.000000 23182.650647
-250000.000000 6660000.000000 19479.914943
-250000.000000 6680000.000000 24445.706295
-250000.000000 6700000.000000 25458.153287
-250000.000000 6720000.000000 24397.119043
-250000.000000 6740000.000000 25810.868449
-250000.000000 6760000.000000 26723.898405
-250000.000000 6780000.000000 26049.829354
-250000.000000 6800000.000000 23994.111674
-250000.000000 6820000.000000 23086.489384
-250000.000000 6840000.000000 23089.696654
-250000.000000 6860000.000000 22022.320703
-250000.000000 6880000.000000 21394.674053
-250000.000000 6900000.000000 20897.907107
-250000.000000 6920000.000000 21011.189552
-250000.000000 6940000.000000 21643.981558
-250000.000000 6960000.000000 21328.027754
-250000.000000 6980000.000000 22996.604433
-250000.000000 7000000.000000 23320.275380
-250000.000000 7020000.000000 23595.536381
-250000.000000 7040000.000000 22761.111899
-250000.000000 7060000.000000 22321.819903
-250000.000000 7080000.000000 22706.358741
-250000.000000 7100000.000000 22619.666575
-250000.000000 7120000.000000 23295.931713
-250000.000000 7140000.000000 23999.113436
-250000.000000 7160000.000000 23286.074893
-250000.000000 7180000.000000 22099.678387
-250000.000000 7200000.000000 23553.371008
-250000.000000 7220000.000000 26473.639122
-250000.000000 7240000.000000 30319.498047
-250000.000000 7260000.000000 30668.826814
-250000.000000 7280000.000000 30590.422938
-250000.000000 7300000.000000 29419.497142
-250000.000000 7320000.000000 26397.231657
-250000.000000 7340000.000000 23642.145567
-250000.000000 7360000.000000 22678.989850
-250000.000000 7380000.000000 24046.178219
-250000.000000 7400000.000000 23744.362852
-250000.000000 7420000.000000 23025.200790
-250000.000000 7440000.000000 23126.736114
-250000.000000 7460000.000000 21970.706367
-250000.000000 7480000.000000 21836.042476
-250000.000000 7500000.000000 20891.948135
-250000.000000 7520000.000000 20764.662323
-250000.000000 7540000.000000 20262.900116
-250000.000000 7560000.000000 19498.613464
-250000.000000 7580000.000000 18648.789549
-250000.000000 7600000.000000 18037.778166
-250000.000000 7620000.000000 17320.413045
-250000.000000 7640000.000000 16605.614021
-250000.000000 7660000.000000 15665.069250
-250000.000000 7680000.000000 14738.748334
-250000.000000 7700000.000000 14099.564095
-250000.000000 7720000.000000 13011.895003
-250000.000000 7740000.000000 12721.171955
-250000.000000 7760000.000000 11449.930617
-250000.000000 7780000.000000 10274.010187
-250000.000000 7800000.000000 11661.840975
-230000.000000 6000000.000000 17235.993416
-230000.000000 6020000.000000 15974.142508
-230000.000000 6040000.000000 18313.841166
-230000.000000 6060000.000000 16585.497865
-230000.000000 6080000.000000 16303.548054
-230000.000000 6100000.000000 15539.839890
-230000.000000 6120000.000000 14683.606806
-230000.000000 6140000.000000 15074.752440
-230000.000000 6160000.000000 15016.370533
-230000.000000 6180000.000000 15164.238729
-230000.000000 6200000.000000 17952.513193
-230000.000000 6220000.000000 20352.170069
-230000.000000 6240000.000000 16470.931474
-230000.000000 6260000.000000 16767.813769
-230000.000000 6280000.000000 17558.982871
-230000.000000 6300000.000000 17407.072592
-230000.000000 6320000.000000 18224.058366
-230000.000000 6340000.000000 20154.268165
-230000.000000 6360000.000000 19686.143703
-230000.000000 6380000.000000 21657.585245
-230000.000000 6400000.000000 21512.362502
-230000.000000 6420000.000000 25296.272031
-230000.000000 6440000.000000 26846.148091
-230000.000000 6460000.000000 24449.468537
-230000.000000 6480000.000000 28323.181144
-230000.000000 6500000.000000 30134.736923
-230000.000000 6520000.000000 31265.197312
-230000.000000 6540000.000000 26574.424613
-230000.000000 6560000.000000 24728.952346
-230000.000000 6580000.000000 23911.023419
-230000.000000 6600000.000000 28611.520590
-230000.000000 6620000.000000 25907.934712
-230000.000000 6640000.000000 27049.998160
-230000.000000 6660000.000000 21062.987319
-230000.000000 6680000.000000 24171.947689
-230000.000000 6700000.000000 27636.182313
-230000.000000 6720000.000000 30446.371153
-230000.000000 6740000.000000 31638.989253
-230000.000000 6760000.000000 28563.700068
-230000.000000 6780000.000000 27028.634127
-230000.000000 6800000.000000 24156.157076
-230000.000000 6820000.000000 27328.049646
